,ML,loss,Input Num,Input,weight,MAPE train,MAPE test,MAPE val
178,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_addloop']",1,0.028705956,0.060287283,0.064101003
140,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop']",1,0.023498897,0.060631365,0.061506233
286,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_dot', 'matrix_addloop']",1,0.024744588,0.060727667,0.067183
88,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_add']",1,0.029103459,0.060732758,0.063667069
32,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_add']",1,0.030392837,0.060737606,0.058819525
126,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_dot', 'matrix_addloop']",1,0.027275526,0.060741591,0.065796888
172,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.026669717,0.060758412,0.063988992
311,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.026669717,0.060758412,0.063988992
98,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_convloop', 'matrix_addloop']",1,0.024405872,0.060844967,0.062692946
17,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_addloop']",1,0.026868517,0.060871684,0.064528439
404,lgb,l2,8,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_add', 'matrix_addloop']",1,0.02880273,0.060901144,0.068856129
309,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.025959406,0.060913906,0.067873457
410,lgb,l2,8,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.025959406,0.060913906,0.067873457
167,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_convloop', 'matrix_dot', 'matrix_addloop']",1,0.024834837,0.06091659,0.062919961
38,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_addloop']",1,0.029139258,0.060930399,0.064153987
101,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_dot', 'matrix_addloop']",1,0.026607479,0.060957059,0.064526812
219,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_dot', 'matrix_dotloop']",1,0.025193307,0.061116074,0.064680581
346,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.025193307,0.061116074,0.064680581
