,ML,loss,Input Num,Input,MAPE train,MAPE val,MAPE test,Leave One,,average,min,max,
1,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.027605217,0.032410012,0.123763887,13th corei7 - GTX1080,,,,,
2,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.028687046,0.033930656,0.31228001,13th corei5 - GTX1650,,,,,
3,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.024426299,0.030542405,0.1771161,1th Xeon Gold - RTX4070,,,,,
4,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.027698085,0.034082081,0.032719241,13th corei7 - RTX3050,,,,,
5,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.024910396,0.031854114,0.148456165,13th corei5 - GTX1080,,,,,
6,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.024555872,0.032437136,0.203793643,13th corei5 - RTX4070,,,,,
7,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.024718169,0.031930904,0.101191301,13th corei7 - RTX3060 Ti,,,,,
8,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.027330594,0.034024373,0.06897243,13th corei5 - RTX3050,,,,,
9,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.026793534,0.033147191,0.195923713,1th Xeon Gold - GTX1080,,,,,
10,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.026518255,0.032229156,0.302935441,9th corei7 - RTX2080 Ti,,,,,
11,lgb,l2(rmse),11,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",0.025162879,0.030555717,0.178321367,13th corei7 - RTX4070,,,,,
