,Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),transfer_all,transfer_continuous,transfer_roundtrip,matrix_conv,matrix_convloop,matrix_dot,matrix_dotloop,matrix_add,matrix_addloop
324,frame2000_3,2000,360,640,230400,498.7122249603271,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,44.0862603187561,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
325,frame2000_4,2000,360,640,230400,1002.6228094100952,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.90037488937378,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
326,frame2000_5,2000,360,640,230400,520.5027675628662,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.983158349990845,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
327,frame2000_6,2000,720,1280,921600,4030.43500995636,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.41325807571411,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
328,frame2000_7,2000,360,640,230400,521.232232093811,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.45132923126221,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
329,frame2000_8,2000,360,640,230400,532.4802484512329,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,44.254104137420654,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
330,frame2000_9,2000,720,1280,921600,3432.654037475586,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.461528301239014,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
331,frame2500_0,2500,720,1280,921600,2091.3344650268555,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,54.31930184364319,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
332,frame2500_1,2500,540,960,518400,1783.1333808898926,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,55.11312937736511,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
333,frame2500_10,2500,360,640,230400,649.2635126113892,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,55.20185589790344,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
334,frame2500_11,2500,720,1280,921600,2413.662410736084,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,54.340049266815186,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
335,frame2500_12,2500,360,640,230400,1079.292576789856,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,54.92175722122192,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
336,frame2500_13,2500,360,640,230400,1024.8082933425903,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,55.32511067390442,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
337,frame2500_14,2500,720,1280,921600,4094.88050365448,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,54.32555294036865,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
338,frame2500_15,2500,540,960,518400,319.0746965408325,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,54.83508515357971,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
339,frame2500_16,2500,720,1280,921600,3324.8714685440063,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,54.55056571960449,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
340,frame2500_17,2500,360,640,230400,897.2026824951172,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,54.707287073135376,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
