,ML,loss,Input Num,Input,MAPE train(%),MAPE val(%),MAPE test(%),Leave One
1676,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_core']",2.83342,3.43588,3.86371,13th corei5 - RTX3050
1677,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_core']",2.75084,3.4837,23.04018,1th Xeon Gold - GTX1080
1678,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_core']",2.66224,3.25215,20.83987,9th corei7 - RTX2080 Ti
1679,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_core']",2.66175,3.13095,17.43467,13th corei7 - RTX4070
1680,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",2.92636,3.34764,146.68882,13th corei5 - RTX3060 Ti
1681,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",2.70933,3.31373,22.6302,13th corei7 - GTX1080
1682,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",2.87932,3.43732,62.63209,13th corei5 - GTX1650
1683,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",2.44821,3.19979,28.70479,1th Xeon Gold - RTX4070
1684,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",3.23407,4.26046,8.27445,13th corei7 - RTX3050
1685,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",2.79562,3.58728,23.15645,13th corei5 - GTX1080
