,ML,loss,Parameter Num,Const Parameter,Variable Parameter Num,Variable Parameter,Leave One,MAPE train (%),MAPE val (%),MAPE test (%)
21,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],1th Xeon Gold - GTX1080,53.51871,54.1059,36.35515
22,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],9th corei7 - RTX2080 Ti,55.80722,55.83218,32.34335
23,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],13th corei7 - RTX4070,50.72953,52.11491,172.82241
24,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],13th corei5 - RTX3060 Ti,57.98727,59.85972,108.20799
25,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],13th corei7 - GTX1080,63.10446,66.22857,29.0101
26,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],13th corei5 - GTX1650,55.91649,57.2062,45.34685
27,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],1th Xeon Gold - RTX4070,62.30601,63.61518,107.73393
28,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],13th corei7 - RTX3050,55.01993,57.21041,32.95582
29,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],13th corei5 - GTX1080,61.52385,63.22107,22.91854
30,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],13th corei5 - RTX4070,50.15002,51.34318,216.29967
31,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],13th corei7 - RTX3060 Ti,57.68098,57.07859,56.61008
32,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],13th corei5 - RTX3050,58.26797,58.05924,16.07717
33,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],1th Xeon Gold - GTX1080,57.21229,57.41558,29.3424
34,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],9th corei7 - RTX2080 Ti,55.80722,55.83218,15.93892
35,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],13th corei7 - RTX4070,48.89856,50.40872,168.33301
36,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],13th corei5 - RTX3060 Ti,56.59926,58.81015,106.3199
37,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],13th corei7 - GTX1080,63.28164,66.45242,28.83801
38,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],13th corei5 - GTX1650,56.1426,57.4749,45.36018
39,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],1th Xeon Gold - RTX4070,56.87682,58.8557,116.2683
40,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],13th corei7 - RTX3050,60.76493,62.26623,31.69189
41,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],13th corei5 - GTX1080,61.6504,63.32215,22.9852
42,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],13th corei5 - RTX4070,46.48475,48.04211,210.84941
43,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],13th corei7 - RTX3060 Ti,57.56202,57.04731,56.75009
44,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],13th corei5 - RTX3050,58.24072,58.01348,16.01011
45,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],1th Xeon Gold - GTX1080,53.75718,54.30951,33.7105
46,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],9th corei7 - RTX2080 Ti,55.80722,55.83218,15.93892
47,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],13th corei7 - RTX4070,48.99922,50.5,168.40047
48,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],13th corei5 - RTX3060 Ti,27.63643,27.89666,77.65946
49,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],13th corei7 - GTX1080,36.64035,37.6548,29.10295
50,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],13th corei5 - GTX1650,26.03533,27.19243,48.60554
51,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],1th Xeon Gold - RTX4070,36.59119,36.99928,25.27777
52,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],13th corei7 - RTX3050,31.49748,32.91664,24.98538
53,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],13th corei5 - GTX1080,35.01903,36.77279,17.54658
54,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],13th corei5 - RTX4070,34.82672,36.68011,54.45869
55,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],13th corei7 - RTX3060 Ti,33.17721,35.93912,73.94376
56,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],13th corei5 - RTX3050,33.43403,35.38613,27.10565
57,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],1th Xeon Gold - GTX1080,33.63203,36.232,15.46055
58,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],9th corei7 - RTX2080 Ti,25.18138,27.90008,117.93868
59,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],13th corei7 - RTX4070,36.08832,38.31441,67.16567
60,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],13th corei5 - RTX3060 Ti,8.72683,11.21752,14.20585
61,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],13th corei7 - GTX1080,8.35073,10.54481,18.13362
62,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],13th corei5 - GTX1650,10.15812,11.13071,36.50424
63,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],1th Xeon Gold - RTX4070,5.68581,7.30483,28.1554
64,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],13th corei7 - RTX3050,9.37475,11.02247,4.1628
65,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],13th corei5 - GTX1080,8.39129,10.07975,13.62092
66,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],13th corei5 - RTX4070,8.66902,10.54009,19.07321
67,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],13th corei7 - RTX3060 Ti,8.67986,10.39577,10.53573
68,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],13th corei5 - RTX3050,9.14956,10.88299,6.59095
69,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],1th Xeon Gold - GTX1080,8.7099,10.26809,13.58879
70,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],9th corei7 - RTX2080 Ti,9.54145,11.1934,24.78011
71,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_core'],13th corei7 - RTX4070,8.47649,10.1223,24.66103
72,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],13th corei5 - RTX3060 Ti,27.09427,27.75018,107.6797
73,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],13th corei7 - GTX1080,33.06152,35.66824,24.10359
74,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],13th corei5 - GTX1650,9.53451,10.41707,64.88749
75,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],1th Xeon Gold - RTX4070,37.50518,39.04732,27.26018
76,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],13th corei7 - RTX3050,33.4317,36.34646,7.36068
77,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],13th corei5 - GTX1080,35.97669,38.24694,17.72898
78,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],13th corei5 - RTX4070,33.43882,36.08016,56.78696
79,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],13th corei7 - RTX3060 Ti,35.13846,38.88247,102.50763
80,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],13th corei5 - RTX3050,36.5787,40.21866,8.90727
81,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],1th Xeon Gold - GTX1080,39.65083,43.06434,16.87548
82,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],9th corei7 - RTX2080 Ti,43.92769,47.25777,44.58187
83,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_boost_clock(GHz)'],13th corei7 - RTX4070,35.40353,39.57428,70.08114
84,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],13th corei5 - RTX3060 Ti,17.44005,18.1447,79.85774
85,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],13th corei7 - GTX1080,23.02258,25.88658,11.38436
86,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],13th corei5 - GTX1650,27.33655,29.32472,42.00092
87,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],1th Xeon Gold - RTX4070,20.78615,22.81332,25.64955
88,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],13th corei7 - RTX3050,22.59733,25.07617,16.75804
89,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],13th corei5 - GTX1080,25.40081,28.00489,18.79253
90,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],13th corei5 - RTX4070,23.05539,26.09292,26.76426
91,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],13th corei7 - RTX3060 Ti,21.50828,25.1084,75.71656
92,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],13th corei5 - RTX3050,24.86563,28.396,17.65816
93,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],1th Xeon Gold - GTX1080,25.2819,28.8905,16.29531
94,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],9th corei7 - RTX2080 Ti,26.07702,29.53664,38.71975
95,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['VRAM(GB)'],13th corei7 - RTX4070,24.24037,27.52273,40.02722
96,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - RTX3060 Ti,58.14177,60.03292,107.61748
97,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - GTX1080,61.54005,65.06134,27.48661
98,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - GTX1650,55.99794,57.27417,45.33579
99,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",1th Xeon Gold - RTX4070,59.74246,61.1983,117.9878
100,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - RTX3050,55.02929,57.13308,32.87444
101,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - GTX1080,61.53306,63.22163,22.92008
102,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - RTX4070,47.68066,49.0687,212.58007
103,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - RTX3060 Ti,57.628,57.05079,56.60963
104,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - RTX3050,58.27071,58.05476,16.07717
105,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",1th Xeon Gold - GTX1080,53.51871,54.1059,36.35515
106,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",9th corei7 - RTX2080 Ti,55.80722,55.83218,15.93892
107,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - RTX4070,50.72953,52.11491,172.82241
108,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - RTX3060 Ti,58.14177,60.03292,107.61748
109,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei7 - GTX1080,61.54005,65.06134,27.48661
110,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - GTX1650,55.99794,57.27417,45.33579
111,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",1th Xeon Gold - RTX4070,59.74246,61.1983,117.9878
112,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei7 - RTX3050,55.02929,57.13308,32.87444
113,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - GTX1080,61.53306,63.22163,22.92008
114,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - RTX4070,47.68066,49.0687,212.58007
115,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei7 - RTX3060 Ti,57.628,57.05079,56.60963
116,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - RTX3050,58.27071,58.05476,16.07717
117,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",1th Xeon Gold - GTX1080,53.51871,54.1059,36.35515
118,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",9th corei7 - RTX2080 Ti,55.80722,55.83218,15.93892
119,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei7 - RTX4070,50.72953,52.11491,172.82241
120,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - RTX3060 Ti,56.59926,58.81015,106.3199
121,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei7 - GTX1080,63.28164,66.45242,28.83801
122,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - GTX1650,57.8796,58.97477,44.88645
123,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",1th Xeon Gold - RTX4070,61.52569,63.05048,120.64456
124,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei7 - RTX3050,60.76493,62.26623,31.69189
125,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - GTX1080,61.6504,63.32215,22.9852
126,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - RTX4070,46.48475,48.04211,210.84941
127,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei7 - RTX3060 Ti,57.56202,57.04731,56.75009
128,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - RTX3050,55.64862,55.63852,16.01689
129,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",1th Xeon Gold - GTX1080,53.51871,54.1059,36.35515
130,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",9th corei7 - RTX2080 Ti,55.80722,55.83218,15.93892
131,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei7 - RTX4070,48.99922,50.5,168.40047
132,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - RTX3060 Ti,10.9806,10.85837,103.41418
133,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei7 - GTX1080,22.08553,22.96782,26.7751
134,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - GTX1650,22.27769,23.41908,47.59055
135,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",1th Xeon Gold - RTX4070,17.6638,19.23726,21.8077
136,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei7 - RTX3050,12.57,14.90075,42.59975
137,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - GTX1080,19.73362,21.83366,47.03034
138,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - RTX4070,21.84098,23.94977,55.49745
139,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei7 - RTX3060 Ti,11.58333,14.0304,87.71195
140,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - RTX3050,11.24168,12.49811,46.41067
141,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",1th Xeon Gold - GTX1080,23.91793,26.26689,22.4475
142,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",9th corei7 - RTX2080 Ti,22.47299,25.0259,106.24132
143,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei7 - RTX4070,24.86779,27.64502,44.34764
144,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - RTX3060 Ti,4.2282,6.25657,19.44897
145,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei7 - GTX1080,2.80019,4.6394,16.99403
146,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - GTX1650,4.92861,5.7804,33.3022
147,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",1th Xeon Gold - RTX4070,4.05815,5.40642,24.0713
148,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei7 - RTX3050,2.92879,4.22571,13.83118
149,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - GTX1080,3.04096,4.36584,14.0962
150,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - RTX4070,4.19552,5.8162,24.88449
151,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei7 - RTX3060 Ti,4.02495,5.49017,10.12327
152,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - RTX3050,3.18639,4.36275,13.88372
153,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",1th Xeon Gold - GTX1080,4.2739,5.68694,16.82268
154,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",9th corei7 - RTX2080 Ti,4.46293,5.77352,23.19134
155,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei7 - RTX4070,4.19956,5.38754,12.08833
156,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3060 Ti,1.82464,3.05115,208.37833
157,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_boost_clock(GHz)']",13th corei7 - GTX1080,29.50937,33.08279,20.67184
158,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1650,1.58824,2.76768,66.26365
159,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_boost_clock(GHz)']",1th Xeon Gold - RTX4070,35.66229,38.06941,29.20793
160,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3050,29.27588,32.91735,13.97698
