,ML,loss,Input Num,Input,Leave One,MAPE train (%),MAPE val (%),MAPE test (%)
21,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",1th Xeon Gold - GTX1080,45.77043,46.07367,46.72514
22,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",9th corei7 - RTX2080 Ti,51.97625,51.21429,5.4887
23,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",13th corei7 - RTX4070,42.14196,43.00057,142.19387
24,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",13th corei5 - RTX3060 Ti,48.1498,50.74547,99.64318
25,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",13th corei7 - GTX1080,52.51383,56.60798,21.45829
26,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",13th corei5 - GTX1650,47.61365,49.29127,48.43252
27,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",1th Xeon Gold - RTX4070,45.34369,47.75998,110.56114
28,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",13th corei7 - RTX3050,45.7708,48.48814,41.22151
29,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",13th corei5 - GTX1080,50.01325,52.00904,16.07456
30,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",13th corei5 - RTX4070,38.80127,40.14501,203.41863
31,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",13th corei7 - RTX3060 Ti,49.88881,48.73721,39.44455
32,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",13th corei5 - RTX3050,49.79163,49.30349,15.98021
33,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",1th Xeon Gold - GTX1080,45.6999,45.99744,45.81375
34,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",9th corei7 - RTX2080 Ti,51.97625,51.21429,5.4887
35,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_cache(MB)']",13th corei7 - RTX4070,42.14606,42.98318,142.11168
36,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",13th corei5 - RTX3060 Ti,9.88313,9.54421,103.04028
37,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",13th corei7 - GTX1080,15.24546,16.6743,21.7867
38,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",13th corei5 - GTX1650,16.55385,17.79957,49.58257
39,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",1th Xeon Gold - RTX4070,15.87336,17.13978,22.64904
40,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",13th corei7 - RTX3050,10.17502,12.33307,44.03112
41,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",13th corei5 - GTX1080,15.70992,17.81397,54.04027
42,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",13th corei5 - RTX4070,15.74874,17.82609,34.89633
43,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",13th corei7 - RTX3060 Ti,9.43011,11.81434,88.32968
44,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",13th corei5 - RTX3050,9.17082,10.0391,49.52921
45,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",1th Xeon Gold - GTX1080,15.4051,17.80185,24.09636
46,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",9th corei7 - RTX2080 Ti,15.14992,17.40567,112.28848
47,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_architecture']",13th corei7 - RTX4070,15.12082,17.76335,11.74473
48,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",13th corei5 - RTX3060 Ti,4.81012,5.3453,16.13944
49,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",13th corei7 - GTX1080,3.70942,4.33853,17.06866
50,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",13th corei5 - GTX1650,4.93356,5.58748,33.26756
51,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",1th Xeon Gold - RTX4070,4.63946,5.23641,23.56996
52,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",13th corei7 - RTX3050,3.71338,4.47694,14.03117
53,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",13th corei5 - GTX1080,3.75417,4.58887,14.39876
54,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",13th corei5 - RTX4070,4.61548,5.36093,25.06735
55,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",13th corei7 - RTX3060 Ti,4.59771,5.25535,9.62049
56,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",13th corei5 - RTX3050,4.12177,4.73413,14.2126
57,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",1th Xeon Gold - GTX1080,4.95516,5.5703,15.46083
58,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",9th corei7 - RTX2080 Ti,4.90736,5.42819,22.46586
59,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_core']",13th corei7 - RTX4070,4.67202,5.16658,16.22181
60,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3060 Ti,2.69227,3.31252,207.46867
61,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",13th corei7 - GTX1080,15.36454,19.63092,21.57174
62,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1650,2.8702,3.43167,66.08274
63,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",1th Xeon Gold - RTX4070,20.27853,23.85114,23.52712
64,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3050,19.89079,23.89198,13.68798
65,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1080,21.98067,26.10752,16.17958
66,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",13th corei5 - RTX4070,21.03488,25.47023,64.4504
67,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3060 Ti,22.75262,27.02606,81.90879
68,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3050,19.9677,24.40016,6.87076
69,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",1th Xeon Gold - GTX1080,22.33881,26.7001,15.66658
70,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",9th corei7 - RTX2080 Ti,20.61147,25.17164,45.52041
71,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)']",13th corei7 - RTX4070,19.41365,24.46651,30.35576
72,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",13th corei5 - RTX3060 Ti,10.77397,10.71564,104.67986
73,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",13th corei7 - GTX1080,17.17874,19.46657,12.93879
74,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",13th corei5 - GTX1650,18.47255,20.44442,43.41495
75,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",1th Xeon Gold - RTX4070,17.87993,19.69881,38.53395
76,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",13th corei7 - RTX3050,16.15477,18.7224,29.18648
77,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",13th corei5 - GTX1080,15.56069,17.87538,21.20725
78,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",13th corei5 - RTX4070,17.59911,20.30298,35.6307
79,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",13th corei7 - RTX3060 Ti,11.79274,14.99969,76.51925
80,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",13th corei5 - RTX3050,16.31366,19.10052,23.78362
81,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",1th Xeon Gold - GTX1080,17.72634,21.00404,18.4938
82,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",9th corei7 - RTX2080 Ti,17.67834,20.83192,29.51925
83,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'VRAM(GB)']",13th corei7 - RTX4070,17.8409,21.03841,7.45094
84,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",13th corei5 - RTX3060 Ti,47.89388,50.57977,99.30223
85,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",13th corei7 - GTX1080,52.55371,56.64837,21.48857
86,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",13th corei5 - GTX1650,47.64524,49.26439,48.41765
87,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",1th Xeon Gold - RTX4070,46.59487,48.69296,109.99832
88,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",13th corei7 - RTX3050,45.84152,48.5192,41.04654
89,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",13th corei5 - GTX1080,50.42992,52.33329,16.45077
90,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",13th corei5 - RTX4070,39.12858,40.46973,203.99007
91,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",13th corei7 - RTX3060 Ti,49.91403,48.71761,39.45079
92,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",13th corei5 - RTX3050,49.77771,49.29981,16.00824
93,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",1th Xeon Gold - GTX1080,45.77043,46.07367,46.72514
94,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",9th corei7 - RTX2080 Ti,51.97625,51.21429,32.22083
95,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread']",13th corei7 - RTX4070,42.14196,43.00057,142.19387
96,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",13th corei5 - RTX3060 Ti,48.1498,50.74547,99.64318
97,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",13th corei7 - GTX1080,52.51383,56.60798,21.45829
98,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",13th corei5 - GTX1650,47.61365,49.29127,48.43252
99,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",1th Xeon Gold - RTX4070,45.34369,47.75998,110.56114
100,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",13th corei7 - RTX3050,45.7708,48.48814,41.22151
101,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",13th corei5 - GTX1080,50.01325,52.00904,16.07456
102,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",13th corei5 - RTX4070,38.80127,40.14501,203.41863
103,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",13th corei7 - RTX3060 Ti,49.88881,48.73721,39.44455
104,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",13th corei5 - RTX3050,49.79163,49.30349,15.98021
105,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",1th Xeon Gold - GTX1080,45.6999,45.99744,45.81375
106,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",9th corei7 - RTX2080 Ti,51.97625,51.21429,32.22083
107,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)']",13th corei7 - RTX4070,42.14606,42.98318,142.11168
108,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",13th corei5 - RTX3060 Ti,9.88313,9.54421,103.04028
109,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",13th corei7 - GTX1080,15.24546,16.6743,21.7867
110,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",13th corei5 - GTX1650,16.55385,17.79957,49.58257
111,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",1th Xeon Gold - RTX4070,15.87336,17.13978,22.64904
112,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",13th corei7 - RTX3050,10.17502,12.33307,44.03112
113,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",13th corei5 - GTX1080,15.70992,17.81397,54.04027
114,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",13th corei5 - RTX4070,15.74874,17.82609,34.89633
115,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",13th corei7 - RTX3060 Ti,9.43011,11.81434,88.32968
116,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",13th corei5 - RTX3050,9.17082,10.0391,49.52921
117,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",1th Xeon Gold - GTX1080,15.4051,17.80185,24.09636
118,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",9th corei7 - RTX2080 Ti,15.14992,17.40567,123.16206
119,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture']",13th corei7 - RTX4070,15.12082,17.76335,11.74473
120,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",13th corei5 - RTX3060 Ti,4.81012,5.3453,16.13944
121,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",13th corei7 - GTX1080,3.70942,4.33853,17.06866
122,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",13th corei5 - GTX1650,4.93356,5.58748,33.26756
123,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",1th Xeon Gold - RTX4070,4.63946,5.23641,23.56996
124,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",13th corei7 - RTX3050,3.71338,4.47694,14.03117
125,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",13th corei5 - GTX1080,3.75417,4.58887,14.39876
126,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",13th corei5 - RTX4070,4.61548,5.36093,25.06735
127,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",13th corei7 - RTX3060 Ti,4.59771,5.25535,9.62049
128,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",13th corei5 - RTX3050,4.12177,4.73413,14.2126
129,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",1th Xeon Gold - GTX1080,4.95516,5.5703,15.46083
130,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",9th corei7 - RTX2080 Ti,4.90736,5.42819,27.84573
131,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_core']",13th corei7 - RTX4070,4.67202,5.16658,16.22181
132,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3060 Ti,2.69227,3.31252,207.46867
133,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",13th corei7 - GTX1080,15.36454,19.63092,21.57174
134,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1650,2.8702,3.43167,66.08274
135,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",1th Xeon Gold - RTX4070,20.27853,23.85114,23.52712
136,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3050,19.89079,23.89198,13.68798
137,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1080,21.98067,26.10752,16.17958
138,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",13th corei5 - RTX4070,21.03488,25.47023,64.4504
139,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3060 Ti,22.75262,27.02606,81.90879
140,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3050,19.9677,24.40016,6.87076
141,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",1th Xeon Gold - GTX1080,22.33881,26.7001,15.66658
142,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",9th corei7 - RTX2080 Ti,20.61147,25.17164,49.81861
143,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_boost_clock(GHz)']",13th corei7 - RTX4070,19.41365,24.46651,30.35576
144,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei5 - RTX3060 Ti,10.77397,10.71564,104.67986
145,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei7 - GTX1080,17.17874,19.46657,12.93879
146,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei5 - GTX1650,18.47255,20.44442,43.41495
147,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",1th Xeon Gold - RTX4070,17.87993,19.69881,38.53395
148,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei7 - RTX3050,16.15477,18.7224,29.18648
149,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei5 - GTX1080,15.56069,17.87538,21.20725
150,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei5 - RTX4070,17.59911,20.30298,35.6307
151,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei7 - RTX3060 Ti,11.79274,14.99969,76.51925
152,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei5 - RTX3050,16.31366,19.10052,23.78362
153,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",1th Xeon Gold - GTX1080,17.72634,21.00404,18.4938
154,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",9th corei7 - RTX2080 Ti,17.67834,20.83192,49.98145
155,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei7 - RTX4070,17.8409,21.03841,7.45094
156,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - RTX3060 Ti,48.13817,50.72706,99.65412
157,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",13th corei7 - GTX1080,52.48738,56.62651,21.44611
158,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - GTX1650,47.63266,49.25809,48.42112
159,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",1th Xeon Gold - RTX4070,46.77534,48.98297,109.88254
160,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",13th corei7 - RTX3050,45.76198,48.4939,41.18595
161,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - GTX1080,49.8301,51.85858,15.94594
162,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - RTX4070,38.80109,40.1454,203.3679
163,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",13th corei7 - RTX3060 Ti,49.89016,48.73659,39.47196
164,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - RTX3050,49.8066,49.30251,16.01439
165,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",1th Xeon Gold - GTX1080,45.7964,46.12086,46.89885
166,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",9th corei7 - RTX2080 Ti,51.97625,51.21429,5.4887
167,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)']",13th corei7 - RTX4070,42.13991,42.90566,142.34191
168,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture']",13th corei5 - RTX3060 Ti,8.82586,8.81814,103.87807
