Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s)
frame2500_4,2500,720,1280,921600,3399.737826347351,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.784531354904175
frame2500_5,2500,360,640,230400,898.2702703475952,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.03934574127197
frame2500_6,2500,360,640,230400,974.457657814026,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.901238203048706
frame2500_7,2500,540,960,518400,2782.7661180496216,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.753962993621826
frame2500_8,2500,720,1280,921600,4043.290994644165,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.58251166343689
frame2500_9,2500,360,640,230400,758.8090829849243,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.93010854721069
frame3000_0,3000,360,640,230400,905.256414413452,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.39099311828613
frame3000_1,3000,720,1280,921600,4863.190195083618,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.28380513191223
frame3000_10,3000,360,640,230400,1485.8515892028809,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.56299591064453
frame3000_11,3000,360,640,230400,1938.386343002319,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,38.79951214790344
frame3000_12,3000,720,1280,921600,10298.69733428955,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.37440824508667
frame3000_13,3000,540,960,518400,4433.069942474365,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.580790281295776
frame3000_14,3000,360,640,230400,1156.8303203582764,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.508381605148315
frame3000_15,3000,720,1280,921600,4848.314455032349,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.426687240600586
frame3000_2,3000,360,640,230400,1054.5900554656982,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.731085777282715
frame3000_3,3000,360,640,230400,1039.3170471191406,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.5992579460144
frame3000_4,3000,720,1280,921600,4531.257173538208,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.405874490737915
frame3000_5,3000,540,960,518400,2610.4615926742554,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.77414655685425
frame3000_6,3000,360,640,230400,941.1938095092772,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.50694465637207
frame3000_7,3000,360,640,230400,1407.769700050354,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.633153200149536
frame3000_8,3000,360,640,230400,1004.7202472686768,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.80288743972778
frame3000_9,3000,720,1280,921600,2228.889018058777,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.50197100639343
frame3500_0,3500,720,1280,921600,5775.872780799866,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.889392614364624
frame3500_1,3500,720,1280,921600,4805.743712425232,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.72255730628967
frame3500_10,3500,360,640,230400,1050.0495433807373,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.29689359664917
frame3500_2,3500,720,1280,921600,5789.719665527344,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.95156884193421
frame3500_3,3500,720,1280,921600,5747.368581771851,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,47.25279378890991
