Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),cpu_core,cpu_boost_clock(GHz),cpu_thread,cpu_cache(MB),gpu_architecture,gpu_core,gpu_boost_clock(GHz),VRAM(GB)
frame2500_7,2500,540,960,518400,2782.7661180496216,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.753962993621826,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_8,2500,720,1280,921600,4043.290994644165,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.58251166343689,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_9,2500,360,640,230400,758.8090829849243,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.93010854721069,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_0,3000,360,640,230400,905.256414413452,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.39099311828613,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_1,3000,720,1280,921600,4863.190195083618,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.28380513191223,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_10,3000,360,640,230400,1485.8515892028809,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.56299591064453,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_11,3000,360,640,230400,1938.386343002319,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,38.79951214790344,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_12,3000,720,1280,921600,10298.69733428955,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.37440824508667,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_13,3000,540,960,518400,4433.069942474365,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.580790281295776,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_14,3000,360,640,230400,1156.8303203582764,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.508381605148315,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
