,Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),transfer_all,transfer_continuous,transfer_roundtrip,matrix_conv,matrix_convloop,matrix_dot,matrix_dotloop,matrix_add,matrix_addloop
88,frame4000_1,4000,360,640,230400,1780.361890792847,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,52.50666666030884,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
70,frame3000_4,3000,720,1280,921600,4531.257173538208,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.405874490737915,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
87,frame4000_0,4000,720,1280,921600,5543.311743736267,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,53.74486207962036,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
242,frame2500_16,2500,720,1280,921600,3324.8714685440063,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,188.14129948616028,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
277,frame3500_6,3500,360,640,230400,1480.9324951171875,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,259.8873689174652,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
211,frame1500_3,1500,360,640,230400,537.905837059021,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,111.58731603622437,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
9,frame1000_5,1000,720,1280,921600,1131.3090629577637,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,13.373311042785645,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
195,frame0500_1,500,720,1280,921600,599.6991939544678,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,37.32267713546753,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
251,frame2500_7,2500,540,960,518400,2782.7661180496216,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,187.3987169265747,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
192,frame4500_2,4500,360,640,230400,1522.766714096069,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,73.87023448944092,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
117,frame1500_6,1500,360,640,230400,456.89137268066406,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,24.080281734466553,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
47,frame2500_15,2500,540,960,518400,319.0746965408325,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.00543212890625,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
172,frame3000_9,3000,720,1280,921600,2228.889018058777,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,49.68838930130005,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
460,frame3000_6,3000,360,640,230400,941.1938095092772,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,64.78976368904114,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
522,frame2000_7,2000,360,640,230400,521.232232093811,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,327.16767287254333,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
